| Puzzle     | Elapsed Time (s)     | CPU Time (s)         | Peak Memory Usage (MB)    |
| 432        | 0.033682             | 0.000000             | 4.398438                  |
| 433        | 0.037845             | 0.000000             | 4.398438                  |
| 434        | 0.035340             | 0.000000             | 4.398438                  |
| 435        | 0.033565             | 0.000000             | 4.398438                  |
| 436        | 0.033869             | 0.015625             | 4.402344                  |
| 437        | 0.034036             | 0.000000             | 4.402344                  |
| 438        | 0.033218             | 0.015625             | 4.402344                  |
| 439        | 0.031306             | 0.015625             | 4.402344                  |
| 440        | 0.037042             | 0.000000             | 4.402344                  |
| 441        | 0.032963             | 0.000000             | 4.402344                  |
| 442        | 0.032604             | 0.000000             | 4.402344                  |
| 443        | 0.033605             | 0.000000             | 4.402344                  |
| 444        | 0.034918             | 0.000000             | 4.402344                  |
| 445        | 0.032940             | 0.000000             | 4.402344                  |
| 446        | 0.035007             | 0.000000             | 4.402344                  |
| 447        | 0.035320             | 0.000000             | 4.402344                  |
| 448        | 0.036563             | 0.000000             | 4.402344                  |
| 449        | 0.031634             | 0.000000             | 4.402344                  |
| 450        | 0.031991             | 0.000000             | 4.402344                  |
| 451        | 0.034723             | 0.000000             | 4.402344                  |
| 452        | 0.032353             | 0.015625             | 4.402344                  |
| 453        | 0.034380             | 0.000000             | 4.402344                  |
| 454        | 0.033660             | 0.015625             | 4.402344                  |
| 455        | 0.034471             | 0.000000             | 4.402344                  |
| 456        | 0.032723             | 0.000000             | 4.402344                  |
| 457        | 0.034644             | 0.015625             | 4.402344                  |
| 458        | 0.036531             | 0.000000             | 4.402344                  |
| 459        | 0.036330             | 0.031250             | 4.402344                  |
| 460        | 0.035428             | 0.000000             | 4.402344                  |
| 461        | 0.031038             | 0.000000             | 4.402344                  |
| 462        | 0.032405             | 0.015625             | 4.402344                  |
| 463        | 0.033063             | 0.015625             | 4.402344                  |
| 464        | 0.032571             | 0.000000             | 4.402344                  |
| 465        | 0.033794             | 0.000000             | 4.402344                  |
| 466        | 0.033124             | 0.000000             | 4.402344                  |
| 467        | 0.035395             | 0.015625             | 4.402344                  |
| 468        | 0.033818             | 0.000000             | 4.402344                  |
| 469        | 0.033022             | 0.000000             | 4.402344                  |
| 470        | 0.072216             | 0.000000             | 4.402344                  |
| 471        | 0.039548             | 0.000000             | 4.402344                  |
| 472        | 0.033056             | 0.015625             | 4.402344                  |
| 473        | 0.034105             | 0.015625             | 4.402344                  |
| 474        | 0.033078             | 0.000000             | 4.402344                  |
| 475        | 0.034241             | 0.015625             | 4.402344                  |
| 476        | 0.031072             | 0.015625             | 4.402344                  |
| 477        | 0.034541             | 0.000000             | 4.402344                  |
| 478        | 0.032334             | 0.015625             | 4.402344                  |
| 479        | 0.035908             | 0.031250             | 4.402344                  |
| 480        | 0.032317             | 0.031250             | 4.402344                  |
| 481        | 0.032187             | 0.015625             | 4.402344                  |
| 482        | 0.035133             | 0.015625             | 4.402344                  |
| 483        | 0.035589             | 0.000000             | 4.402344                  |
| 484        | 0.032790             | 0.000000             | 4.402344                  |
| 485        | 0.033103             | 0.000000             | 4.402344                  |
| 486        | 0.033541             | 0.015625             | 4.402344                  |
| 487        | 0.035043             | 0.015625             | 4.402344                  |
| 488        | 0.031285             | 0.000000             | 4.402344                  |
| 489        | 0.032109             | 0.000000             | 4.402344                  |
